uin,chat_cnt
ca9127805152fb396416961b63ca6e46,211
14544dd7bf6395cf7e8d86c5ecc9529d,181
5f28eafb8bbfb30cccff9761e6711cdf,462
4743a96841d2fd684ec3aad8f26cf888,1
83b1d2086dd70c4328d5b9e1f48fa022,126
cc915987247f0157b7f106541542a06b,310
1274e767a85724ae10ca4ba96157e8fe,227
2765115a96553a6df1557af1066032cc,1284
9d0bdf9b80f7ba6b8485f990760a28a8,111
624e198087b2ef8e12b9eb8681212318,380
41b298306b565ca173bdb5fe3f32387a,52
922fca4d84c483af41434b5ab58a7849,27
4f4e320333f061a91dc8a0f0a8757bc4,283
139419c70fb2b434d6b62cf267528964,403
10e47759f0fa157855ee44ddf444ca39,3896
6d66131a6adc96de168917d6a38609b9,98
b8c47469ea35618c76bc823031a2309d,26
16996a2352eab81a21b3376ec2111758,880
43f9ccc8d0518e8e6872b2ffd417c515,337
f640fdcfdc2bc0c883574574c7227a65,63
29d159db7fdeb21cf3b8da92f4f05702,53
176bf1e596ae2b146d42415583dcde55,552
3610f3e6a2ea662eb9ada6e6b4b1ddbe,79
3522613af0d70432ad1d27723e866870,105
f8b3bf4317ad3bbe37b8bb9698c97aa7,24
cfa987b4bf40c53ea296ad5630dce023,104
e672c7fef2c9113cba341f0dd07367ea,310
220188cb4265ecaa8525eb0cd4cdb477,174
12349bd2c7e6940997f534baeba1ad90,623
e6ebbd54fd3dd73027f3de300a7d2295,130
631477acdc86e31b1a54bcf25f8fceca,305
1d5499a958ada0406573bba8acb4dc46,232
0c25fc2d3464645d3d1c2294fda38e47,113
cf00a62a9b839f10d6f4b0eb7d0cdc12,3126
602a9b587927c8b3272be90b00ad26e5,476
80e10fe605b7e698a305050f7a45e25b,95
9ed455f01865bdd8cb7b09478ffbbb64,348
17fa441a8509bc72baeb6eb122c81a5b,80
9f5f87a6171c183db00f5839b95e82ee,401
480fdbe3d04254174bdaa9769afd0cc7,467
ffc5956d4fc8f346ff2e98f89ebb5077,462
9dc79f81be1f3155bba984c2f5063a46,19
b0833c045a74a1aaac4bb9ebeaa7eeba,375
dafe2f22f2dca05221bc5f2b80f8188a,23
fbf02325a862e2795ab01c9a1c933013,400
28792e5d0b0160341589cbbc56bcf54f,29
d260d99c63ed263e6d621a85adeee007,251
335f60517341247abdfcd2216ded18bd,221
6eeef3f9f539c2d544502b6e696b129e,56
0ce73fb440ea55bffcd116ba0ffc4cb5,139
514232cd517e8f9775f41cd39021730d,113
f86d622a234c4c9a82d2f9f20c528694,233
5bf80028c6eb3633ef9037bc7d989c8f,55
92ac601dc0df7cdbd5beb50fca1c1ee7,170
01a906c70b5a9a756899678841507075,42
011a8c0c782021765a5d86f536027525,57
9a258aa839ed8168fbeda34dd97582bb,276
a6f9cba9f6ebb5ef32dd1e668d10850f,229
0a8c6dd37350511af69d6068a5a3425d,736
ac1bdf763fa7f2a5e6f04c7345480115,78
700dd1a81b2f2ae22bfd4a9ce863b4cb,180
bbbddcfe727b671c165aa13ec67aea52,124
37a6f2a7146506ae61527425550bca0d,303
193c1494265797ca145365a1735514e8,20
5f6c391eca1d7fb52065879d6beb3cb4,486
e4b89cd216922554d5ab81494afedfae,64
7d4b06c4c7ac7ce1f040a74ae9df4784,143
b49f1c82d310b05aa4867d7fa147d8f1,191
c270dd77cbd7263f5a821b9a775f24f5,162
531fdf7a7798ea7b6a3de99c15717876,265
deb3041170e8da19deefb6da1ff20b48,127
69f4fb2c783a97a31fe73c58a9e8f0a4,65
a06ba19fb97f5a6f954ac613fdfcf4b7,84
f7a867f74cb15a72d54ed33c95d8e7ef,627
66cbd72f1c04e7700c31271e99bd3c16,279
3b8cd6dd6739305c9abb925cef9e4d00,27
76cae51a66e613bb0f107611cea9e550,45
cc2fa47b1a85b706cf80253baccbca17,73
09595e8002a1ee6adc9a3a36fe44e280,395
e0b60878e0ae2a3943e85937450f2ace,94
b209cfd4240c0b4110f64f3c2e69b65e,82
32086afed3848ccdde925915a37f5d4a,287
fc196a1cab69c19b01dd57c9d4164aee,313
32aed5e94eecdc89142ea0ef662fbd69,451
b76c5dc19d97d3f16e488b4081e63a52,147
8421cdba7b297a4b409190ac573256f6,245
1c6f7b5340ea33c62af6279028e49d15,115
09e08a9ecfd97848d48c08c3e3030efc,168
853b883936f6c1364604dd4373e92bcd,238
00cfbdd9425c73b6fc188c2f7d0c2b5f,4
2dc08a460dae5f93745fd19a83b6bbf7,4
931096c9dd7e654a86e96519b364280d,4
d7b2120216313f8c473ac912f84cbae4,7
6dc75cbecb50eb7460227c33e9f60a3a,4
88c25fa95b2081bdad1b96f9602ef79a,4
2298f33773561873959b8c3982b65e7e,527
1e43b6f3660aed9263dc072d24ae4ead,350
386be8e2ce3701cc8b79680d0754b686,47
07a73031f124d9e03cb9a48b76e7b459,460
b079723bdab725044e5fa261121cdb9a,32
310a02008dab70b5437db42b12ab5624,441
9d2197822d8035a926baea5cfcdd5bb2,30
803b5c27151cc40520541f0e64e1f954,852
9579de464bfb9a152946bb892f51c4ee,267
7a691c96556090264b71fa1c9a8b9b78,712
e31bde35f3d6b5d6a3ec27c97eda3ac9,263
d45fb810862e6fbb9143224147e94cd1,204
a8007659d0ee8116684f7a3a7c5bfa4e,1061
40944e2b2e2370ac25a0889a98724a04,108
6b08b465af522716507de70382c515b4,4
ba95a90fafec183ac50011313d1f85a1,504
e5d514f07950d86564f83678b75c486e,164
341de37690d3382ba2123a4e91796bd8,63
46f4baa7fe7e1d34cdc410fdbe345ad9,444
debc990f6560ee18ccbdef7fdacc80f5,194
3ae09335448ce2e2f84632b283f8c8df,35
144c7a057937ca8de2273dd3bbca1f04,256
97ec9558bc0a412175443ab6f6aa037a,773
73d807feec3bb8145368f52006a7d2b4,2344
5503b17678b4001c05b95f716880b315,341
d931723afdfa68dbfeefeafe51cb8c19,723
b1bfbc6d41b30a61966de33b0f79738b,180
2999762e062c7111e254cc0d47b5ce11,110
709a908b676b5a9b57010bf5495ca841,93
8ebada709221e16c14b4a6c9684976a6,201
24a6f62ffdf10a87a7b300cd9b1e7dc2,189
658075bbd950618d3622d57c62dc0dbe,227
7461a6628fdb8e5f7e5ba3483d893be2,383
e7896f3818158106fab03c26b7dd946a,123
04230b7e974583f70bcd6a564723563d,85
4493a493108634b49d5fa58927b29490,143
9f2719690879b3eae70d10adacc6af8d,132
15886aaab04541e142a5120965f1bf2b,15
6cd565704e8cbeb5203725a86e35d04d,99
61bc544f4d808b4389f45ac2e5e40ff8,23
461797f911a72148f16773fce4371291,317
b3115e4a9f61db29bcdb97d54de59ceb,78
ffb94cf6434340be03ac799402e01f32,7081
bcf3926d7e060ea7d55bbe07d9dd908f,231
f183621119c57b51ded0e9244f60bf8e,216
4f6074aaae7e99445adef0f37fe7e4aa,4
1776e8e9f0f3bcf9ca1f776db157e0eb,274
a20b096dd796ad8d7b4a18521200664f,159
72dcdc90e053a5fc9ba1a47558bee7de,313
5cab4e82904cbe53c9a080ea6d6ba1d3,17
aba82b7081494c1d8c80277ac0d94f03,4
13cb23a702d3d505df07339fe288d145,4
da4641e9ad2fa17d9d14d6af6cff876f,4
b6be1c5c4a53edfdaea6b8c4a1044916,4
cf06e8efbedce3e04dcacac54bbc6bd6,4
8e7289f0489c37d963f82bff6728f87d,812
34cf095e17392ba19ceb310011e023d1,86
4501dfb7633abe581da97bac91514d15,277
f8d6e31eda024c78a68252271aee96ee,155
3cb7e585710d65977f231eeb76256a03,84
24b2e071d186ae3855bd41bb836afb80,176
2c1fb165753d7c8516300a1789951160,4
8dc89bd300dabadf4fa746dc9ff9438a,40
4c22f654515e9eb04f0420acfdd0292a,632
a3ca7a0aea864b65e68e6817adb815d6,150
d6a473164dbacccadd132a12fa0b26f7,162
5f31034b668c5bd9c3dc9bad94803f77,267
7e17b9b54899040ef39045a880d7e6ff,678
37820e7c77761ea3710cdaa4076a2ad1,89
019b6bfad455e3b6338e5f2250da6006,430
79b97c843f824cf16e8743108c0e53da,357
c0b8506a6601d53900084e74617b6f9d,142
c854aa1e6fd3f370df0d5fac6b88a978,99
c30bf7d231af32a0d5656b95b08bf61b,431
b146dc6729b0e353637b044627deddc5,1007
ff7fa8f2e90316e9c2f63f419487de74,47
888b1d41220e31ddc6714029923581a4,101
73933e60ccb63ad146618bc9eeb55745,170
12fd7d02c6a321b2ddf53ed8e5622bd2,21
307d2ed6a26d740ccd2597ad2c0e00ca,902
cef79eeb9e1c87a8c0dac239c58a52d5,48
ebbcbd9b9a85edb30f8376185973b260,802
e3d15a3b96993efaa3f5202051456a93,95
574829d0c916f6e424ca0909a84c526f,402
c61093cd42b811572b6e46bd379c18c9,154
90d855dc0da30556e3d7c07a3f615397,19
d6804632e14b1f00b729abab4be61ce8,157
9e72d533d12f14e97884d16232c60b89,154
535de00d6eb6544040faa8412b44651c,401
1bb3e6acdd53bb69833d80a920578008,34
15f982318be9891a792f158a7d7f6816,153
a0ebbb33242af9a1257156ef170e6bb0,195
da7b540fa1fcdb8f2071077ff6f50968,644
a791f69689857a510ec8ee15c1eb7b46,108
860f136ae00d183194eaf6236a4dbe53,782
35e09ee2f8187a9e7afe3d7c59ca6a39,977
24ba7187b58f8d4ebbf9d07474a8aea5,69
33e67763c82f2c47d8be98644058fa92,86
b51ab98c344a761501d785e8cee38b1b,26
55655ed4aba7839335e6e08af754c1b5,21
301fe0acd483b01011ceecfc1de4e3c8,630
88f5ed27f46fcec9c78497d2b21cbecc,1027
75ac944132df548c8d309f0d27171fca,136
a8aa380efcf438c611d3652a73426a43,56
a780c8887cb6910b6392a179598b7137,483
0e5e7c385693e11a915d5dde01a9dcd0,2
de9f0b1044aef989707dc1395c9e6385,120
4af3dc7c1d7171b9f4e87829ca1c9590,178
aba4285e021430f0b2cd6ddf21852bd4,7
354ac2e924b136c1d372d5c49231c2a1,92
3bad84a8a39dc89259534251557edc1f,169
58583b4bac732a3c0e60654439d5327b,385
5a9dac6b0c9f96c4704b3580b57915b8,81
aa43693eaaf63b611086c1c491391214,310
32401da261dda015f0e0f7262566638a,249
7f597636518154ce083dd04aa1cd29cf,737
b49827e09666bf89dc36a3cb9d6ed26e,14
09c51a77456503a50163797bef2ee87e,17
843a7061e9f756d1fd59d8309b8d6b3f,321
140dc04447e54a7811c33b9caf232e8a,16
2d426f9a19f0674a820ff6cd249dd808,47
3e2a85c8c767d8c77d717190e0cd9670,116
19761cbaf7b2f1399881df7d24ca0286,21
4cd279c766b29a06a117ac370f9c688b,422
5354474d1a697aab55a94458a8bd30e6,165
b3b7133e6699dc751e9b0b1267c032ee,644
650d73b93366b3ab228d775ca4771f5c,12
a60294d25cf80268411f684bd6ba29fc,515
9ace6c4839592210e864244e600cee2d,185
8e206258a744bf1960870636c693585a,56
81246d542c28575e87f3c8f76508138a,189
80b82d010006f5080a1df8210253111c,710
5cedac78ffd68d76b66a502157c4818e,121
a38330c520cdd7cbe278e8d5f0f85797,144
bac2e0056bb12c1bb5513b0ec92edcae,165
476cd65ab44fe99b0d197067832e2a39,189
50b53cc01381422c75464cc8906295b7,64
10ee61fa61cbed5a6e71faca03b0e0db,5
09f26881f8a2f5b72230081d533da08f,158
9dadfcf343e23bde058758e351751ee5,830
5138adb9a486aa1aa406cb62255c33da,159
63bade93ddb7c5442d7b02409bfe619e,121
ef27b19532c52e20e9952eefc21f9147,161
65b733882db931793b49d6bbd88d9f09,108
8256d21e6a81887ab1ecbfbf0a944b96,507
5a04a5e432673ade7baeebc8f231e700,1031
1875282572f974955feb505519114af1,351
69dd1130b6a1f384f3667ba68e3ed8ab,254
f02ee21f7b5c3460fd49d8f4b2fc37d5,52
dbb8ed0b4af8b255786e4f0813f2f306,66
e2039b455216f19eb605368177883779,127
9e88da1440b881f67c62236a70dc69e1,246
e8493bedaee2f72a587bde4167b5ed32,139
8b6638dee6dd8d55557009b47fc9b9a2,145
211b02ac7fb06f3b9016e3022f92d4c2,423
fb3ccb4bad93020a4fb5a62265f762b0,42
5ff85b9bec17fc39c3332f94947c767b,66
97badf4f7ccf488b2e05437499be630c,53
9210e047d94014e16e3425e5bdfc8274,768
705ba09240012a23dc847301d1436ec9,111
95c29646550e19eeaf52b3c4402dd02b,125
457532dc2c5a15a19ece4b9a61d70a1e,97
0f1d2e40b2d1e98e865dcab2c85768a1,177
cab9417d4f651f287a45e17ce43272ff,149
c12154c1f710f0e92e74e973fd2f9949,103
ae0fbc2c15ddd45936eee32974442239,309
192516df31d5b32af3346bdc0d9cc863,27
693afbba7effbacf9e8b5de3b8e7e38a,169
c457d7ada3b25a4efb85d0fa027bffea,136
1661ce35334938460704033d0ac701d4,300
512894def830bd06a7656961b676182a,9
30307053f91de68e06723468afde8da3,130
c21b701ab4faaf08e74a47f905b3b73e,101
7003c38e578aa27b3452a39663293f55,1002
d03de772ec58e731e0ff0968be4e421c,585
fe78410b134a481e1b4149b803aad9fe,132
acbaa81a0ba730762e073f91562e2b62,201
ae3179e47889dc13b1a5670b0168f30a,471
050189b7e9994e9951110af2490dac2e,405
4261b2d0a3a597d4525ce3fcdb5883a8,123
38b71e01c75791aaaa0d4c4e2ccb3b45,170
5b059ddeab09c8b71ed7f2815e284765,495
df82c377efddd7c6a8c364b185a375ee,925
ee1f90c8967a1ec4941d823730b21bf9,182
7336f13da255cc67d4e76f8a78f04217,22
c5b6ba77d401cef553ac98c3afbd1308,149
3bdde68853fddba7b73c06ad1fe1085b,335
0c617462c4e74f37c8b46bb8d0936941,429
46914ff4d073d43fb965c494d5a76304,400
9851b2d802d3c989e30786e50e75d197,289
e67cb50af1af93b6f6ce79fda850280c,1377
5884d536044ecc113017d99d87197041,77
f167dc7188a8d6867a20749e9fe8090e,431
736c21d04a544fa1011f9341c8cb7c79,119
52468fb9923e78927931c34726fa8433,262
5fb02f6a0567276502c65200f8202c32,79
a9a191780d1a93f01083aeee1454d6fb,381
5e63eb5d0ed1707e5f8ffa95d657b35f,414
d979ad608186facc947d5cfb11ab2127,1012
13572aa82c987de2c944cc2e61e6c0c0,145
8f37ccf80686a1ae8ef257590c3207d8,87
49fa422f19b5096021dbad7b1dc2620c,33
6e7ff83b926db24df6863c8e3e30bf95,388
013bcfdda420c78d92bb3a6a186028d4,40
97daa9302ee7ab23c8233518cb512a80,410
593c2d6eae188438585aad4c93fb476e,311
2867d1131307d1d94f632d4164faf720,194
b9a5d269c31bfe8f139a899f5dd45a27,86
3d874ea41a6b68b25bdff1835f58d4b6,4303
9bf93e6acba9c3e126ad8804a00139bd,422
de18e97f1750ba7c445f6968d4944345,71
c20343aca7647616f63578f893999ccf,980
b46152bae1150bb7d47ea611b3829fa0,371
74c4325c6660e0ad56481735e7885cb5,374
7276513e6e3af538c64ea498e62b7ac7,19
247e476247142d020c0f6d01876734e4,105
5c3a83bb4813575562bc5b0f5feade3f,383
9827f26ea2bc064b92c27d772ee1f8e9,389
7c86fd2bad247f5a9996bdb05c48aa3b,191
68bca10786e20c6053f1682086474f09,71
5748a29ff6d25a54844a61138c73e0bb,397
f15521d14cb5d406ee9b2abff74fe6e4,400
a564c1fcf3ea9c823fa7cbc80b7436a6,419
10fe1f50459ace927bd92f9c7211a872,405
758f526bb27ec25a1cb4d0b085e3017e,420
f16d483dba4649ff35b0c7869f99f1f8,197
251914bfe4b78aa770657b3b7a5a9b90,49
788378ae3c66e94a7d9411e42a46bcb7,62
63e0e83fa23ce5f874f134468b550f9d,387
277ca3081ef28ab2b513a5eac5df0d2d,103
57a19a2809265bcada40f03b2abe6c83,363
4a3620d36f14224203029e90955521b0,421
cd1a7e377e7393e19476c4bfff066df4,367
516bb6c97b4ecb03ec013bc47eb3aacb,397
8b1bd34abf983b24df2cf9514d94d7cc,313
a0067cd368bae5fbb93a82f8c9fab1cc,39
0696fa1b7096c9cabb5f13eeac55b695,242
44f0b3c00323a4ab7a1516bdefb17f8f,95
9a72c51e058f8bd64313436a1ecff62c,612
662f928384ad151bada66e13bb4bbdf9,457
68e9e898ea662a0585640847f9d1ff1b,392
6d9cde8d32d2e61cc11ca4fbe783f203,116
8000697c820a90ad9f4ba7c95a75f914,25
ffbeae3c57f648132b6d76ee8903b6eb,600
6936c59257bc8ac84cf1cf480aa3e412,45
427e1398fe131435eceefbdb4583e56a,680
4fc7b099e8a8ec43d9d6644ab495aa00,132
c2ff49034a98cbca708f9ba110b1a906,39
743dbd984553e1e8d0c5a62bb04b6f60,463
896fa01297002ecf01c94f39c8cf69e5,53
ec4f2dc61b57fc0283bda677bfaaa778,95
7e3ea6f63fce524be09641a67975df45,33
993a6bb19d1d9fafa6c7d6190bccf227,33
4e95b05623a81923e095a01ff23f6fe8,421
81c779a4f03c475db9c06a72aaf95166,219
2b870d567122280c8c661260d00a5a58,75
ee244c7a71f27102ae6e0cef68675d43,217
8e71d12705e87c210b459c87636d5e39,481
02633155f9579636dd225bfa0337708c,208
8eee976f1c193363a2f54a33ce3c16aa,158
aef9c1dfc083a816b3bc52e4193a389a,40
59c134cd8604de7a077383d9b3ff33a7,109
fae33fe3f3f110e75c9f4ad3710c8337,98
335ef79aca1de3e1c122a8bb474a4720,705
c36badb64e47aabd4aba4313087c33d5,41
90e57e92f3c0efe19872f92bd40c9bfd,260
52ae57e8a456e7ebba6732855f49621f,177
83bb3d360e2183fe0bccdde9ce65c4a3,45
ec37d59402eaf088633d26a0314b51a4,288
5134ecec08a6d2693830e5f141a3d80c,44
7f86e2141492dda6463521aa81a3bdde,174
0feaaeb7dad91b946706235a2fa2bf47,201
b8e35db1d4d3b3fad034444d41d38b89,95
d42d3212b716394167e29a79cac33bd1,17
345bf3bd923b7cc11b652dc91c8fd3e7,682
542d00d1e7f249b654cd0a3d32e52ae8,14
65edfb7a4c240027b458b13486877c00,292
1c9ac657fc8a10c6a2442eb720230187,2
424a0a9dc75c34fe874eabc95f3e1bce,102
0893656080ab55dfb6dcc813f4702b7e,318
8f848235290622f3cb64932a1ae2599b,250
c80e9ffc2b31e464c33380be96fb7f42,385
1747726e23236612dd89e4ee0538660e,70
5a76b4d9bbca5b5507b879b8153a3585,273
09b63cc9c05705db41c80ec41fc8d739,237
5f461fd2d855b7fc25abb80a6cb673c4,765
9704227aa20f8dc804a28a283f09e3cb,365
e31fff87d41a38082e4c4c6796c28fdd,543
2513327d65b30af40997db768823b75d,483
9c435f0749045d2a1e3799a43b150333,129
e59d9146f546bc2cd0a6ad6bf13f6dbd,61
29f473b8c0dc81e5f0eea2aa34d27a64,417
243809ce5accc0a39cec29104785ec31,99
c501bd0ff603e1b9b949e9750741dcfb,350
18c118246f76f466b0b1a77403bd8b18,237
0abbd4a968994fb49d7f9ae4978768ed,267
13f0b498dc79647d2091e33f76665ad6,11
860aa2b2c516ede8f37543f2b81e7a56,161
c0eeec0ac6409ef2c36c3e6aa460d1ad,478
5104e737e6928762cbe17f6cba0acd18,22
fe83fd24a05817bd03e3b3e4e750dadd,270
0b3e38b74cca9c9ce851c6d5482fbec6,120
2cd5f0f230a03f09e602b346f359b28b,21
320dc99764d7c6c8bf15fec6fc5abe02,17
a4c7a79ac2f97da868a05fc7007420d0,56
bfb2511681e1ce92d73b7ca1a3ab0e75,177
f97f8e0b5db7e75c07e914d28c12fc3b,222
7aab8085875fbadba26ec68251cc9057,163
5cb122248007bcd9a6b3f01b00c97172,233
a068f0b5727b6007c4ad63efbe357b72,1
0b915107ffc7e84f61df20a0c099e087,397
e1f5a79bfd0e15f241e1f21a789cb81e,175
f01fc3a2e2557214d05e708af01c05a6,215
f60316a46a95435b337ebb06aebdc363,356
7f9b10beed3b24371dfb52a17e168e58,29
5143db89a829400c7bf3ca4804fb2527,405
9ccad78343aac7b9c521d6984b5693ef,204
ed9f4e207969d18487b2073e7d554c15,18
b01a88f199b807e3b2270f62aee60b3b,1188
e36061cf29238d79be88ca4f4c484148,309
a634a13ae63c0da868283ce3847cb1b7,395
8287ac567797b60b60dc94d81ba46b77,31
07c8a665d28aadca900842475658de84,573
89215061297a21a56f8386702e1f3078,468
80549f3e63fff6bbfb4468f933a7cee2,61
0671e3c45747cfab9316898035c5280b,496
f07a15c4d1a9b89a4d89265ce01000fa,105
149d18cb1618f67e7a3b263a48c38656,44
a29c7b3687c4c1c16191cc4b6ded8398,58
9b3b67f1e74c5880efa2c843a6020cef,13
faebc777f848a11746a5113ca46f3663,325
e78157371e189fb54fdf7f9c0f8492a8,1019
1587ea5cc8932c91ad23ee105eab4b42,188
edfd49772b0dade08254bf0a01963c21,522
dd4ac604521b23d9ec09e6c9844039f1,184
52fba3df1ea374edb60a15564aaa1f93,425
5bdac360493d7df2160ba0fab8a00f7f,45
499dcb4a4c5d002a826c9e8880e6286c,417
f9094a3a1af185c1359e0715684c9ea3,47
d65d953f52eb78a8f4b1d3e59f560504,141
7f922433d370e4e7542f50154b94daa2,56
96ac5db8dc0f9a87e31048e3c0275dd0,96
0271ee8c2c06ab122ea1e7d6e8ac086c,14
b6a3961146f7a8acb111d63580825cf0,236
000e5150dfa458178cdf3aa8dfed8e61,1045
1ae479fcea0c18030be85d2c7a7e2cae,107
e663ea08737e3a968f615cc0adc004c5,168
2d86ebe92a748907466b88829a4925d9,620
266ac14545a1a9c31c53444dbbd8cf3c,15
11187736bdf1c152ec85e12f817f63e1,429
e84b639681783f56d4235ba6abbadcd3,464
1acd563628dc8b40d5f9fe7589cefd6e,238
c96202f8af255f28a22d9c7c5550c578,294
766a55d39f42a0091365e00d67dff7ea,299
cefcef78dfec81993736ffb235a57be8,283
b9a5e38df74d95fc9b2d79cf677d16ec,377
c4063e378d3ce7adb81c3ae1c2436fc8,464
23c40b4bc4089ed6bc90274fac388e8b,53
362132c14d6185ab46e017d60c0859dd,284
da331a119b8308bb7d39181ce51aa8a8,86
2d60158213357dc77ecd93e7e422d399,37
fe246287c5d99bed0c216ba8ac364a18,125
1e642f9f6edb26539b8bf395facdb59e,161
8e63a0d731fc463a97cd61ad9b18bc42,309
d146fd90420adb2fe6c237da2ef041ad,102
848ba7be92bdd14d79021cfb6ee3b280,123
acd2586c55877d98ce7aa374c335f5ec,71
21b65a80a462f249d63698327e80bedb,223
b9fe21a2028f1785cefb7109af1feb64,158
5ab826447d2e784913c1431d3b6f0d51,240
c540628a4318219b746225d31565d7a9,377
b02a2acc416b93e9788d880a0dc37408,191
46d48a7caf2f0a1eadbc56cb2a5614c3,1072
99f065d0c90efd06e026a7373c1b61a8,253
449fac031e68f3d652016c70b1e0c3c3,296
3f8fb2344fadae00e8200df23e83255e,740
99a935d49bf8aff52129f20a88d519ca,453
72e19b50a7be8a74eb0638da4c40e0cb,164
5c295d5d421a7234ac8380a2b9f60f7f,2930
b847db7e2fc140d28fabd9fc5578708e,46
1aeb07e181dc1b9a701292bf175a4a21,8
b3cddccfb63c5a950ab04be57950ad26,75
2885d8795545d434733ce015a716ba01,252
4eb6f7531e2687e1c2b91555976c32ab,139
d8ed82f9762a5b6701528bc08edb73b8,299
4cc87b0f2491457b69493d4603f81d4d,185
14742bb084c6f533c431dd4b4498f12d,526
0b0665bc486c93b8166b4f8e61548dc8,296
89fc9fd702314bf5774e9e20643f4b78,341
6a7af919c88bfe5df8fedb0e78b6799b,434
ab496dcc8d1041205d8b598f208dc328,623
9d3370f6ae626a4650bb63b226c35a98,70
dd8ca51e073fc83eb3558dd98421d376,291
c4da5a917c5f5aac3916e47acdcf4b87,64
0a8129b78595006054a871ecec3c8959,63
cd0abb9b8d8a49d26a3fba882ba1ae27,93
da15c28b21ee415ce20c2eebd54e0864,746
c00f18c2163d89f0a3b880777d7dbc01,448
ed6804ada133b22eae9537934ce30e86,170
715db4d18341de011d43738ed3147c74,717
0d54a7782f309a7bfabd859d255b7035,172
094ffe441e2e9deb415d970fb3363998,54
2277156c59432addf5a9ae7fa03b96fd,297
a317f159fefccfb184c6a19d566e8344,148
41d99f4e5c9da58107e1e92123289b93,26
96018120e733993d9358249cf222b87a,28
95f8e0c60ebfe3751cf2e283045b318f,7
967fad67f11eb7b8160e5432351c17e3,771
41aa672ee5e7fde6beceb73d2fe4a393,304
438542c4f498baf9c44527df3ffbb47c,21
0fd992657f6abb7850f6c4723a6dbf1a,205
7f15986bbd681ee7d3cfab88649259dd,49
05fb92a0fdbe1f74593577fb1332d3be,234
ab1ddfc9516fa35d03976024e9c28bc4,62
7615bed620089af4f78f476fcc7bc3a5,50
3612c34c282b433286f18e9f1ce9962d,81
eb881029a27ff3a9089d3779f9f64333,30
63aa840e2e41e75cad66fe6b7f6431d7,153
5e833939abe01e294a84a8b8cccb013a,648
a150aa950049a72c9f8a05a38283ae62,259
59c3f0348e010f4eaeddb437f74d1d45,654
2c3b6f6a603b47ac883b1926727b9dd1,388
656630481f259e9c82e808d34d2b2073,29
6844cc757ecbe0e9834dbadebeb1cdbd,139
0bf7b3111b28d042bd369c02f87bdfd0,198
62591b77191921180c28b37391748922,5
7836f87eca6a8403fcc95bfbd387b960,262
fc1966785fcb3175231d5dfabec6958a,88
10f90b880b534807538e53a9f3514e34,290
5d5157cbbb99eafdee242283d99f6693,307
ea783d8d1a1a3a0f0b62e9d668550298,272
a0bc26b088f2885c2860356564a046c8,44
72d7f795e3cdd04eb3720ad4eb6a09fc,143
c157296ca0eeef59518b78a2798740bf,416
e5537f0a9e61b240bcc0c08a14ec407b,237
8d75f565a0078a0c0ae9ece48a99b714,12
d47e1ee847834063f033c4c7dca19541,96
f355a38b1ca92bb74b9e5d9f9f4cd3e3,116
